taxonomy_id	name
89926	Cystofilobasidium macerans
5414	Erythrobasidium hasegawianum
5454	Ascochyta rabiei
1187904	Alternaria burnsii
1351752	Parastagonospora avenae
117547	Diatrype stigma
62714	Golovinomyces magnicellulatus
746128	Aspergillus fumigatus
479092	Yarrowia alimentaria
1291540	Candidatus Methanomethylophilus alvus
2901380	Pseudomonas sp. NIBR-H-19
658630	Pseudomonas sp. CMR5c
47883	Pseudomonas synxantha
33069	Pseudomonas viridiflava
640205	Pseudomonas seleniipraecipitans
191390	Pseudomonas palleroniana
2565368	Pseudomonas atacamensis
1788301	Pseudomonas versuta
2004646	Acinetobacter sp. WCHA55
710648	Acinetobacter sp. Tol 5
1879049	Acinetobacter sp. WCHAc010034
756892	Acinetobacter indicus
202956	Acinetobacter towneri
478	Moraxella nonliquefaciens
571	Klebsiella oxytoca
573	Klebsiella pneumoniae
1972431	Phytobacter ursingii
9	Buchnera aphidicola
665913	Mixta calida
585	Proteus vulgaris
645	Aeromonas salmonicida
644	Aeromonas hydrophila
43948	Tolumonas auensis
1935446	Photobacterium toruni
2782662	Bradyrhizobium sp. 195
2840473	Bradyrhizobium sp. S2-11-4
1325100	Bradyrhizobium sp. CCBAU 51753
1197460	Bradyrhizobium sp. 6(2017)
2590772	Bradyrhizobium sp. I71
1404367	Bradyrhizobium symbiodeficiens
1325090	Bradyrhizobium guangdongense
190148	Bradyrhizobium paxllaeri
2589974	Mesorhizobium sp. B2-1-1
352475	Shinella zoogloeoides
2877941	Shinella sp. XGS7
2603276	Methylobacterium sp. WL1
1479019	Methylobacterium sp. C1
410	Methylobacterium organophilum
2528964	Xanthobacter dioxanivorans
2890321	Sphingomonas radiodurans
2733867	Sphingobium sp. KCTC 72723
2486273	Sphingopyxis sp. OPL5
1609758	Novosphingobium sp. P6W
1921510	Tardibacter chloracetimidivorans
2589076	Paracoccus sp. AK26
207340	Roseomonas mucosa
2897332	Roseomonas sp. OT10
1612173	Niveispirillum cyanobacteriorum
2602016	Hypericibacter adhaerens
172043	Brevundimonas nasdae
1795631	Variovorax sp. PAMC 28711
434008	Variovorax sp. PBS-H4
225992	Comamonas kerstersii
152480	Burkholderia ambifaria
151783	Cupriavidus campinensis
261302	Paraburkholderia phytofirmans
413882	Schlegelella brevitalea
392593	Inhella inkyongensis
495	Neisseria elongata
28449	Neisseria subflava
483	Neisseria cinerea
155925	Nitrosospira sp. NRS527
556499	Propionibacterium acidifaciens
1750	Arachnia propionica
2849501	Nocardioides panacis
1272	Kocuria varians
2048898	Microbacterium sp. Y-01
2508882	Ornithinimicrobium sp. HY006
2934161	Ornithinimicrobium sp. JY.X270
2017485	Brachybacterium avium
1705	Corynebacterium stationis
169292	Corynebacterium aurimucosum
43771	Corynebacterium urealyticum
1833	Rhodococcus erythropolis
1689	Bifidobacterium dentium
1694	Bifidobacterium pseudolongum
33910	Amycolatopsis mediterranei
163604	Nocardiopsis exhalans
2021	Thermobifida fusca
2843216	Miltoncostaea oceani
1601	Ligilactobacillus agilis
69966	Macrococcus caseolyticus
1422	Geobacillus stearothermophilus
2886352	Allocoleopsis franciscana
821	Phocaeicola vulgatus
2086471	Adhaeribacter swui
5341	Agaricus bisporus
2053458	Termitomyces sp. T32_za158
5325	Trametes versicolor
1659843	Sanghuangporus lonicericola
2304319	Phaeosphaeria sp. H6.2b
240345	Dothiorella sarmentorum
545652	Sporothrix mexicana
1825666	Phyllachora maydis
2211643	Monosporascus sp. CRB-9-2
1441468	Talaromyces albobiverticillius
4903	Cyberlindnera jadinii
74829	Stutzerimonas balearica
654	Aeromonas veronii
434010	Hydrogenophaga sp. PBL-H3
2716225	Hydrogenophaga sp. BA0156
2741720	Rhodoferax sp. BAB1
1267217	Melaminivora jejuensis
2970464	Massilia sp. H6
1707785	Massilia sp. WG5
945844	Massilia oculi
2601898	Noviherbaspirillum sp. UKPF54
2914710	Sphaerotilus sp. FB-5
63	Vitreoscilla filiformis
2220096	Indioceanicola profundi
193	Azospirillum lipoferum
682998	Azospirillum ramasamyi
1789672	Skermanella mucosa
1817965	Skermanella rosea
2603277	Rhizobium sp. WL3
1368430	Rhizobium rosettiformans
379684	Rhizobium pseudoryzae
2664893	Agrobacterium sp. MA01
879274	Shinella sp. HZN7
1813451	Peteryoungia desertarenae
1969821	Ciceribacter thiooxidans
2740529	Microvirga sp. R24
2807101	Microvirga sp. VF16
7	Azorhizobium caulinodans
374606	Aminobacter sp. MSH1
2591463	Brevundimonas sp. M20
1532555	Brevundimonas sp. DS20
2560058	Brevundimonas sp. Bb-A
1938605	Brevundimonas sp. LM2
